***************SYNCFREQ: 1 ***************
100000,384790,1
200000,79920,2
300000,87915,3
400000,86685,4
500000,83238,5

***************SYNCFREQ: 8 ***************
100000,435586,1
200000,135841,2
300000,120850,3
400000,120464,4
500000,130302,5

***************SYNCFREQ: 64 ***************
100000,432136,1
200000,151992,2
300000,124371,3
400000,142739,4
500000,148086,5

***************SYNCFREQ: 512 ***************
100000,435042,1
200000,153608,2
300000,129367,3
400000,145543,4
500000,149745,5

***************SYNCFREQ: 4096 ***************
100000,435154,1
200000,155430,2
300000,132876,3
400000,145361,4
500000,150278,5

***************SYNCFREQ: 32768 ***************
100000,438866,1
200000,153669,2
300000,132929,3
400000,143712,4
500000,151549,5

